update,frames,FPS,duration,difficulty,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,693.1422047334953,3,1,0.19454264878793984,0.39401394743105095,0.0,0.996999979019165,3.6678765880217785,3.023267728753792,1.0,17.0,1.3660950809717178,0.11525676981545985,-0.025505342593532987,0.0817917738459073,0.2683664284011208,0.19454264878793984,0.39401394743105095,0.0,0.996999979019165
2,4096,759.3372757882714,6,1,0.2513368036597967,0.431346702196061,0.0,0.996999979019165,3.4913194444444446,3.0573103980749923,1.0,21.0,1.3475271351635456,0.15119935222901404,-0.10414807152119465,0.08642911061178893,0.28230434912575536,0.2513368036597967,0.431346702196061,0.0,0.996999979019165
3,6144,811.6248420319423,8,1,0.25153191282784293,0.43144230810566075,0.0,0.996999979019165,3.2798690671031094,2.7435812277745075,1.0,23.0,1.3226482812315226,0.19453907292336226,-0.05744681473879609,0.09134592226473615,0.2208245947725926,0.25153191282784293,0.43144230810566075,0.0,0.996999979019165
4,8192,708.121280748072,12,1,0.27921462428588745,0.44620759519214526,0.0,0.996999979019165,3.2257551669316373,3.279735624280714,1.0,29.0,1.2950209621340036,0.2178411555942148,-0.03179370901489165,0.0784756414941512,0.2632865011594447,0.27921462428588745,0.44620759519214526,0.0,0.996999979019165
5,10240,731.7702288728915,15,1,0.3011355916230447,0.4561589932844693,0.0,0.996999979019165,3.0708782742681047,2.9113082745769887,1.0,21.0,1.260131936520338,0.20921963697765023,-0.1056254819559399,0.07896518928464502,0.2295418539603105,0.3011355916230447,0.4561589932844693,0.0,0.996999979019165
6,12288,799.2465059682024,17,1,0.33395826452999205,0.46836784208431137,0.0,0.996999979019165,3.211878009630819,3.1490608813671024,1.0,22.0,1.2264319900423288,0.2804527406115085,-0.10801980784162879,0.08411265874747187,0.22827201075182357,0.33395826452999205,0.46836784208431137,0.0,0.996999979019165
7,14336,716.8391036956133,20,1,0.38138960727623533,0.48232545484027023,0.0,0.996999979019165,3.2175324675324677,3.253083115359853,1.0,27.0,1.1812615059316158,0.31001452659256756,-0.07461814788985066,0.09099059196887538,0.3779749592406111,0.38138960727623533,0.48232545484027023,0.0,0.996999979019165
8,16384,872.0108369743532,23,1,0.40023973848083366,0.48628534472546514,0.0,0.996999979019165,4.228941684665227,4.490386222409486,1.0,38.0,1.132344814017415,0.274298403179273,-0.029059844091534615,0.07476522104116157,0.2888459195940284,0.40023973848083366,0.48628534472546514,0.0,0.996999979019165
9,18432,757.3403584019309,26,1,0.44432053945403605,0.492070769178631,0.0,0.996999979019165,4.534988713318285,5.040290864386229,1.0,36.0,1.078276646323502,0.3057335033081472,-0.09656228631502017,0.09128147002775222,0.30547572463576267,0.44432053945403605,0.492070769178631,0.0,0.996999979019165
10,20480,889.4236668845892,28,1,0.46025694216843005,0.49347096292056497,0.0,0.996999979019165,4.476851851851852,4.527122102794189,1.0,42.0,1.0332815255969763,0.3362726562190801,-0.045193045240012,0.09128434676676989,0.342172145545389,0.46025694216843005,0.49347096292056497,0.0,0.996999979019165
