scripts/train.py --algo ppo --env MiniGrid-GridCity-4S30-v0 --model GridCity --save-interval 10 --recurrence=8 --text --tb

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, difficulty=1, discount=0.99, entropy_coef=0.01, env='MiniGrid-GridCity-4S30-v0', epochs=4, frames=10000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.0007, max_grad_norm=0.5, mem=True, model='GridCity', optim_alpha=0.99, optim_eps=1e-05, procs=16, recurrence=8, save_interval=10, seed=1, tb=True, text=True, value_loss_coef=0.5)

Model successfully created

ACModel(
  (memory_rnn): LSTMCell(75, 75)
  (word_embedding): Embedding(500, 32)
  (text_rnn): GRU(32, 128, batch_first=True)
  (actor): Sequential(
    (0): Linear(in_features=203, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=4, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=203, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

CUDA available: True

U 23 | F 047104 | FPS 0955 | D 61 | Difficulty 1 | rR:μσmM 0.79 0.39 0.00 1.00 | F:μσmM 6.6 6.3 1.0 52.0 | H 0.776 | V 0.607 | pL 0.018 | vL 0.081 | grad 0.330
U 24 | F 049152 | FPS 0868 | D 64 | Difficulty 1 | rR:μσmM 0.79 0.39 0.00 1.00 | F:μσmM 7.1 9.0 1.0 76.0 | H 0.773 | V 0.648 | pL 0.040 | vL 0.064 | grad 0.289
U 25 | F 051200 | FPS 0971 | D 66 | Difficulty 1 | rR:μσmM 0.76 0.41 0.00 1.00 | F:μσmM 6.0 7.4 1.0 71.0 | H 0.756 | V 0.616 | pL 0.041 | vL 0.078 | grad 0.464
U 26 | F 053248 | FPS 0855 | D 69 | Difficulty 1 | rR:μσmM 0.76 0.41 0.00 1.00 | F:μσmM 6.6 7.6 1.0 85.0 | H 0.764 | V 0.619 | pL 0.038 | vL 0.080 | grad 0.305
U 27 | F 055296 | FPS 0994 | D 71 | Difficulty 1 | rR:μσmM 0.82 0.36 0.00 1.00 | F:μσmM 7.5 9.8 1.0 105.0 | H 0.748 | V 0.617 | pL -0.040 | vL 0.063 | grad 0.356
U 28 | F 057344 | FPS 0955 | D 74 | Difficulty 1 | rR:μσmM 0.81 0.37 0.00 1.00 | F:μσmM 6.6 7.2 1.0 66.0 | H 0.723 | V 0.653 | pL -0.035 | vL 0.067 | grad 0.368
U 29 | F 059392 | FPS 0862 | D 76 | Difficulty 1 | rR:μσmM 0.82 0.37 0.00 1.00 | F:μσmM 6.6 7.0 1.0 60.0 | H 0.722 | V 0.688 | pL -0.003 | vL 0.070 | grad 0.371
U 30 | F 061440 | FPS 0863 | D 79 | Difficulty 1 | rR:μσmM 0.87 0.31 0.00 1.00 | F:μσmM 6.5 6.3 1.0 58.0 | H 0.706 | V 0.719 | pL -0.028 | vL 0.056 | grad 0.265
Model successfully saved
U 31 | F 063488 | FPS 0956 | D 81 | Difficulty 1 | rR:μσmM 0.82 0.37 0.00 1.00 | F:μσmM 6.7 7.3 1.0 59.0 | H 0.741 | V 0.695 | pL 0.031 | vL 0.066 | grad 0.332
U 32 | F 065536 | FPS 1012 | D 84 | Difficulty 1 | rR:μσmM 0.83 0.36 0.00 1.00 | F:μσmM 7.3 8.8 1.0 68.0 | H 0.747 | V 0.681 | pL 0.024 | vL 0.055 | grad 0.318
U 33 | F 067584 | FPS 0880 | D 86 | Difficulty 1 | rR:μσmM 0.80 0.38 0.00 1.00 | F:μσmM 8.7 12.1 1.0 101.0 | H 0.807 | V 0.629 | pL 0.069 | vL 0.056 | grad 0.348
U 34 | F 069632 | FPS 0860 | D 89 | Difficulty 1 | rR:μσmM 0.82 0.36 0.00 1.00 | F:μσmM 7.3 8.9 1.0 58.0 | H 0.771 | V 0.662 | pL 0.043 | vL 0.054 | grad 0.338
U 35 | F 071680 | FPS 0960 | D 91 | Difficulty 1 | rR:μσmM 0.84 0.35 0.00 1.00 | F:μσmM 6.2 7.9 1.0 66.0 | H 0.736 | V 0.666 | pL -0.037 | vL 0.055 | grad 0.334
