update,frames,FPS,duration,difficulty,return_mean,return_std,return_min,return_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,733.0164464030763,3,1,0.005388965442262847,0.07236076480125646,0.0,0.9879999756813049,2.806896551724138,2.355028520873163,1.0,17.0,1.3630235344171524,0.008148459066433134,-0.01652021564405004,0.008980840902722775,0.0971341510475848,0.005388965442262847,0.07236076480125646,0.0,0.9879999756813049
2,4096,798.4717739937715,5,1,0.006935028117255303,0.08223247009808422,0.0,0.9879999756813049,2.8771186440677967,2.2449910730617564,1.0,16.0,1.3482802547514439,0.014715406017785426,0.01978247333317995,0.010052715920210176,0.13707421112147838,0.006935028117255303,0.08223247009808422,0.0,0.9879999756813049
3,6144,799.4719714533283,8,1,0.033346416295185026,0.17739976538248173,0.0,0.9879999756813049,3.4249146757679183,2.70166054540858,1.0,15.0,1.2897398099303246,0.053373995837318944,-0.02405371644272236,0.03947853174759075,0.14580586784194804,0.033346416295185026,0.17739976538248173,0.0,0.9879999756813049
4,8192,844.5638327483447,10,1,0.12586919793599768,0.32754302573972316,0.0,0.9879999756813049,4.3544303797468356,3.63772303714041,1.0,24.0,1.1822346895933151,0.1764240199699998,-0.05541325417289045,0.08348879555705935,0.19572836785588704,0.12586919793599768,0.32754302573972316,0.0,0.9879999756813049
5,10240,915.1075815695716,12,1,0.23796747838901633,0.41903256399443994,0.0,0.9879999756813049,5.463414634146342,4.574512901509089,1.0,31.0,0.983577087521553,0.29536654776893556,-0.11954462642461294,0.10585124464705586,0.242504166997983,0.23796747838901633,0.41903256399443994,0.0,0.9879999756813049
6,12288,942.1549311547124,15,1,0.627900355227053,0.4668056247721231,0.0,0.9879999756813049,7.3238434163701065,4.325514080533183,1.0,23.0,0.6942190686240792,0.5900510526262224,-0.24490323127247393,0.11305680812802166,0.42066811928949766,0.627900355227053,0.4668056247721231,0.0,0.9879999756813049
7,14336,978.3308423481303,17,1,0.9322669001236505,0.20561006226037526,0.0,0.9879999756813049,7.352313167259786,3.8142460981095674,1.0,39.0,0.47120310040190816,0.7862147986888885,-0.2762544264551252,0.041478521801764145,0.17917801594052885,0.9322669001236505,0.20561006226037526,0.0,0.9879999756813049
8,16384,915.2726597770297,19,2,0.38101807164858625,0.4779879882980354,0.0,0.9879999756813049,6.2379518072289155,2.3784941368696373,1.0,16.0,0.4566844096407294,0.45228584576398134,0.21331492613535374,0.048786377476062626,0.11991116619374048,0.38101807164858625,0.4779879882980354,0.0,0.9879999756813049
9,18432,929.9233637716853,21,2,0.3293166659275691,0.46228371023500886,0.0,0.9879999756813049,6.763333333333334,3.129534931725302,1.0,31.0,0.47045982256531715,0.3987465617246926,0.132571316906251,0.007997750228241784,0.0950194172989254,0.3293166659275691,0.46228371023500886,0.0,0.9879999756813049
10,20480,939.2460204750631,23,2,0.23930886797948714,0.42051563493231114,0.0,0.9879999756813049,6.253822629969419,2.5807643663684683,1.0,17.0,0.5120948157273233,0.25251538725569844,-0.005253637793430244,0.0029141614463696897,0.028921098443076197,0.23930886797948714,0.42051563493231114,0.0,0.9879999756813049
11,22528,949.8705160711243,26,2,0.22540255533620573,0.4123970333272377,0.0,0.9879999756813049,6.536741214057508,2.5578467107412135,1.0,22.0,0.6353895645588636,0.23145069275051355,-0.0032301020687555138,0.0010515294741253456,0.021230530023867274,0.22540255533620573,0.4123970333272377,0.0,0.9879999756813049
12,24576,966.3412121678472,28,2,0.22586029307807193,0.4114073865799859,0.0,0.9879999756813049,7.474264705882353,3.52189571954403,1.0,25.0,0.7552201431244612,0.24208132037892938,0.0010015278703576769,0.0038509150269874226,0.031043972504468085,0.22586029307807193,0.4114073865799859,0.0,0.9879999756813049
13,26624,1031.0554826102587,30,2,0.2882194094014067,0.44519956470781535,0.0,0.9879999756813049,8.780590717299578,5.060224106250972,1.0,53.0,0.9080102974548936,0.23514907446224242,-0.003532674833877536,0.005356195894137272,0.04174097044420352,0.2882194094014067,0.44519956470781535,0.0,0.9879999756813049
